x,y,label
3.188648093,0.929177352,0
0.822452665,0.04760314,0
0.81472472,0.029109306,0
-1.506536213,3.132313596,0
0.442688663,2.849428224,0
0.856440547,-0.661438511,0
2.091501702,1.978925016,0
0.377056267,1.387776696,0
0.092539615,1.65879413,0
-0.59371329,-0.031068887,0
1.302644514,-0.078418846,0
2.634392431,-0.273660157,0
0.378153449,1.342665775,0
1.467161096,0.933222786,0
2.419265838,1.194590158,0
1.110265206,0.626768764,0
2.869629234,0.367786853,0
-0.03025084,-0.52529461,0
-0.341634431,2.012120418,0
1.554398345,-0.192775567,0
0.937929182,0.972271942,0
1.096601636,3.35116051,0
2.562950566,2.590988106,0
1.828231992,1.144131394,0
1.540064396,2.062030206,0
0.405055707,1.797408684,0
-0.900840911,0.297994817,0
1.193508212,1.189027016,0
0.418199707,0.886248245,0
-0.545210833,-0.266886301,0
1.478812335,0.831660963,0
1.229341621,2.160466936,0
0.862073524,1.451762015,0
3.410739024,-0.489656306,0
-0.922794636,2.79368369,0
2.662942384,-0.036432411,0
3.121358963,-1.112749784,0
0.811619407,3.549998745,0
-1.122113144,1.164995741,0
1.276596954,1.779876053,0
0.374467579,2.099575803,0
1.546098957,2.745314876,0
1.155699038,1.762117044,0
0.296133719,1.058254305,0
0.962108466,2.469833197,0
1.705163583,1.834987087,0
-0.724102772,2.579069733,0
1.221379223,0.861994482,0
1.475551401,1.53647039,0
4.385471457,1.172034845,0
-0.010312333,1.31066652,0
-0.804721773,0.546575807,0
-0.620379008,1.020550378,0
1.911181862,0.592394872,0
1.261236421,1.617880924,0
1.580594417,1.151354749,0
-0.041321314,2.179479648,0
2.160062816,3.20447251,0
3.147353552,0.737765396,0
0.353588505,1.476614641,0
0.069069087,0.374030189,0
1.785349137,1.388054519,0
0.533946421,-0.179051478,0
0.671899222,0.580010516,0
1.915328305,-0.240569829,0
2.689367396,1.168585214,0
2.673089108,3.031434238,0
1.799468334,1.906814683,0
2.366719705,0.855830232,0
0.13591593,0.116923935,0
-0.432741808,1.992972906,0
0.558708372,1.344627485,0
